category,sleep,recovery,body,set,reps,weights,Duration
loss,1,5,0,2,18,10,31
fit,1,2,0,2,10,3,12
fit,1,3,1,0,2,8,15
fit,1,4,0,2,17,14,19
gain,1,4,0,3,18,9,0
loss,1,1,0,2,13,12,21
gain,4,5,1,3,17,22,26
gain,3,3,0,0,0,1,0
loss,1,4,0,2,4,0,0
gain,1,4,1,2,19,11,14
gain,4,5,0,0,18,12,15
gain,1,2,0,0,17,4,16
fit,1,3,0,0,3,9,18
fit,1,4,0,2,20,12,12
gain,3,4,0,3,18,22,30
fit,1,5,1,2,2,5,18
loss,2,4,1,2,18,6,18
gain,2,3,1,2,14,7,24
gain,1,5,0,2,18,12,19
loss,1,4,0,2,20,3,0
fit,2,3,0,2,18,19,31
gain,1,4,1,2,0,5,14
gain,1,3,1,2,18,9,19
gain,1,2,0,0,9,16,30
loss,1,2,0,2,6,0,14
fit,4,1,0,0,12,6,16
fit,1,4,1,2,17,6,18
fit,1,4,0,3,17,1,16
fit,1,1,0,0,11,2,15
loss,1,5,1,2,17,2,13
loss,2,3,0,0,4,2,0
loss,1,3,1,2,13,7,18
gain,4,2,0,0,10,10,22
gain,4,4,0,0,2,22,19
fit,1,5,1,2,0,10,0
gain,4,1,0,3,15,11,26
loss,1,4,1,2,20,9,15
loss,4,1,1,0,20,4,22
loss,1,1,1,0,16,8,18
loss,1,4,0,3,13,13,3
fit,1,1,1,2,2,6,16
fit,1,1,0,0,5,0,12
gain,1,2,0,2,15,12,16
loss,1,4,1,2,11,12,15
gain,4,4,1,3,11,5,33
gain,1,4,0,2,15,11,18
loss,1,4,1,0,13,13,29
gain,1,4,1,2,14,10,29
gain,2,4,1,1,19,6,18
fit,1,4,0,0,11,4,13
fit,1,4,1,3,15,6,16
gain,4,4,0,2,18,17,18
fit,1,4,0,2,10,4,0
fit,1,4,1,2,20,4,13
gain,1,2,0,2,9,8,21
gain,4,1,1,2,15,13,26
fit,1,2,1,0,15,8,14
gain,4,2,0,0,2,22,15
fit,1,5,1,2,20,9,13
gain,1,5,0,3,13,16,15
loss,1,4,0,3,2,9,23
fit,1,5,0,2,20,16,27
loss,1,4,1,2,9,5,24
loss,1,2,0,2,10,6,14
loss,4,2,0,3,17,12,35
loss,1,1,1,2,5,1,16
fit,1,3,0,2,15,14,29
fit,1,2,1,3,7,5,14
loss,1,4,1,2,18,2,17
loss,1,5,1,2,20,4,12
loss,1,5,0,2,18,9,18
gain,1,2,1,2,1,10,16
loss,1,4,1,2,11,6,30
loss,1,3,1,3,15,0,25
fit,1,4,0,2,19,16,19
loss,1,2,1,2,14,10,14
loss,4,5,1,2,20,12,33
gain,4,3,0,0,2,22,21
fit,1,4,1,2,12,8,15
gain,4,3,0,2,10,5,0
loss,1,3,1,2,17,0,13
loss,1,4,0,2,17,4,26
loss,1,1,0,0,10,3,14
gain,4,4,1,2,19,12,20
gain,4,1,0,3,7,4,14
loss,2,4,0,2,18,2,16
fit,4,4,1,2,9,10,0
gain,1,4,0,2,14,8,25
loss,1,3,0,0,3,3,0
fit,4,3,0,2,4,5,15
loss,1,2,0,2,15,0,0
gain,3,1,1,2,7,3,0
loss,1,3,1,2,20,4,23
fit,1,2,0,2,8,13,19
gain,4,2,1,2,11,6,21
gain,1,3,1,0,9,7,10
loss,1,1,0,0,0,4,0
loss,1,2,1,2,9,2,15
gain,1,1,1,0,1,3,0
fit,4,2,0,2,15,8,15
gain,4,2,0,2,18,7,15
loss,1,1,0,2,6,0,0
gain,1,1,0,0,0,6,0
gain,1,4,1,2,19,9,32
gain,4,4,1,0,13,19,36
loss,1,2,0,2,19,17,16
loss,3,2,1,2,18,5,15
fit,1,4,0,2,3,4,13
loss,2,5,0,2,6,8,16
fit,1,3,0,3,14,1,16
loss,1,2,0,2,13,6,0
loss,1,4,0,2,20,12,24
gain,1,4,1,2,0,5,15
fit,2,5,1,2,12,11,14
loss,1,1,1,0,10,0,16
fit,1,3,0,2,20,12,20
loss,4,4,1,2,19,11,38
fit,4,3,0,2,15,11,13
loss,1,1,0,2,0,0,16
gain,1,5,0,2,20,22,29
gain,1,4,0,2,0,6,23
gain,4,2,0,3,20,22,26
gain,1,5,1,2,15,10,33
gain,4,4,1,2,13,15,24
loss,1,4,1,2,17,10,22
loss,1,4,0,0,5,8,12
fit,1,4,0,0,10,10,24
gain,4,3,0,2,7,13,17
gain,4,3,1,2,18,18,30
loss,1,2,0,2,0,9,0
gain,1,5,0,3,14,22,32
fit,1,5,0,2,13,14,14
gain,4,3,1,3,15,7,0
loss,1,1,0,0,0,0,0
gain,4,1,0,0,13,22,20
loss,3,3,1,2,16,12,16
gain,1,4,0,0,0,7,0
gain,1,5,1,2,18,11,0
fit,1,4,0,2,17,7,21
loss,1,1,0,0,4,0,19
gain,1,1,0,0,4,3,23
loss,1,2,1,2,20,5,0
fit,4,4,1,3,8,15,26
loss,1,1,0,0,12,9,10
loss,3,5,0,2,20,4,1
gain,1,5,0,2,16,14,0
fit,1,2,0,2,8,8,13
fit,1,1,0,2,8,4,0
gain,1,3,0,0,1,15,0
loss,1,1,0,2,9,0,0
gain,1,3,1,2,2,0,20
fit,1,4,0,2,20,8,17
gain,4,2,0,0,8,3,17
loss,1,2,1,2,17,7,15
loss,1,1,1,3,18,0,0
loss,4,4,0,2,18,9,0
fit,1,5,0,2,16,6,16
fit,1,1,0,2,1,1,0
gain,4,5,1,2,12,10,25
fit,3,5,0,3,18,13,30
gain,4,3,0,3,17,16,17
fit,1,2,0,2,7,10,13
gain,4,4,0,3,18,13,17
loss,1,2,1,2,20,0,17
fit,1,4,0,2,0,9,16
gain,1,3,1,2,6,9,18
fit,1,4,0,2,9,9,0
fit,1,4,1,2,20,15,18
fit,1,3,0,2,19,9,13
fit,1,5,1,2,17,1,28
fit,1,4,1,2,20,10,14
loss,1,1,1,0,9,5,0
gain,1,3,1,2,14,13,21
fit,1,2,0,2,9,5,15
fit,4,2,0,2,20,15,21
gain,4,4,1,3,16,11,36
gain,1,1,1,3,4,10,18
loss,1,4,1,2,19,6,14
fit,1,2,0,2,3,1,21
gain,1,4,0,3,14,14,17
fit,4,4,1,2,11,18,24
loss,4,4,1,2,20,14,0
gain,4,3,1,0,3,15,29
fit,4,5,1,0,3,14,33
gain,1,5,0,2,9,6,23
fit,4,4,0,2,20,13,36
loss,4,3,1,3,10,14,27
fit,1,2,0,0,16,10,14
gain,3,3,1,2,17,8,0
loss,1,3,1,2,20,6,21
gain,4,3,1,2,11,20,30
fit,1,3,1,2,15,10,25
gain,1,2,1,2,12,12,14
loss,1,3,1,2,12,13,0
loss,1,2,1,2,11,10,38
gain,1,1,0,0,0,3,0
gain,3,5,1,2,20,18,37
fit,1,1,0,0,8,4,15
fit,4,1,1,2,16,5,0
gain,2,4,1,2,19,8,15
loss,1,4,0,2,20,3,15
gain,1,1,0,3,0,5,17
gain,4,1,0,0,0,12,31
loss,1,4,0,2,20,5,25
loss,1,1,0,2,12,0,15
fit,1,2,1,1,19,19,27
loss,1,1,0,2,13,7,14
gain,4,2,0,3,12,18,25
loss,3,5,1,3,11,13,25
fit,2,1,1,0,16,10,4
loss,4,3,1,2,17,10,28
fit,1,3,0,2,5,3,13
fit,4,2,0,2,3,10,19
fit,1,5,1,2,20,21,25
loss,3,4,0,2,10,0,12
fit,1,4,1,0,15,5,26
loss,1,5,1,3,14,5,29
fit,1,3,0,3,9,11,16
fit,1,1,0,2,14,7,0
loss,1,2,0,0,7,0,30
fit,1,1,1,0,0,0,16
loss,1,5,0,2,14,10,0
fit,1,3,0,1,14,4,18
gain,1,2,0,0,0,7,0
gain,4,4,0,2,4,22,20
gain,1,5,0,2,20,22,23
loss,4,4,1,2,9,11,33
fit,1,2,0,2,8,8,15
gain,1,5,0,2,3,8,0
fit,1,1,0,0,16,6,0
fit,1,2,1,0,7,22,13
loss,1,4,0,2,13,0,13
fit,4,5,0,3,20,19,29
gain,1,4,1,2,15,13,23
gain,4,3,1,2,11,5,29
loss,4,5,0,3,20,17,0
fit,4,2,0,2,16,4,0
fit,4,2,0,3,19,6,23
fit,1,4,0,2,13,22,16
fit,1,4,1,2,13,8,0
fit,1,4,0,2,1,3,12
fit,1,4,0,2,20,10,22
loss,4,1,1,2,20,6,0
fit,1,4,1,2,3,8,13
fit,1,2,0,2,20,4,13
fit,1,4,0,2,14,18,0
fit,1,1,0,2,5,2,0
gain,1,3,0,2,4,7,35
loss,1,5,0,2,20,10,21
gain,4,1,1,2,0,4,32
fit,1,1,0,0,20,10,21
gain,4,4,1,2,20,13,30
gain,4,4,1,2,9,14,36
loss,1,2,0,0,4,0,12
fit,1,4,0,2,15,13,19
gain,3,5,1,3,15,22,37
loss,1,3,1,2,0,3,12
gain,3,4,1,2,18,15,22
loss,1,3,0,3,18,7,17
gain,1,2,1,0,9,5,0
fit,1,2,0,2,15,7,16
loss,4,4,0,2,15,12,23
gain,1,5,0,2,16,8,17
gain,1,5,0,2,14,13,27
gain,1,2,0,2,0,1,9
gain,4,2,1,2,20,22,28
fit,4,4,1,2,20,15,20
fit,4,4,0,2,14,12,21
gain,4,2,0,2,0,2,17
loss,1,3,0,2,11,7,0
gain,1,1,0,3,8,9,23
fit,1,5,0,2,17,6,13
loss,1,2,0,2,18,0,12
loss,1,1,0,2,7,0,13
gain,1,1,1,2,4,6,0
gain,1,3,0,2,17,6,14
fit,1,3,1,2,16,8,0
fit,3,4,1,3,6,6,27
gain,4,5,0,3,19,12,18
fit,2,4,0,2,19,6,16
gain,1,3,1,2,0,12,14
fit,1,3,0,0,12,7,0
gain,4,1,0,3,13,15,22
gain,4,1,0,0,0,9,0
fit,4,3,1,0,15,13,0
fit,3,3,1,2,20,3,0
gain,3,2,1,2,9,11,20
fit,2,4,0,2,19,15,0
fit,1,4,0,2,20,15,14
fit,1,2,1,0,4,6,18
gain,4,4,1,0,15,5,19
gain,1,4,1,1,6,22,22
fit,4,4,0,3,18,14,19
gain,4,4,0,3,2,22,28
loss,1,2,0,0,14,0,20
gain,1,4,1,2,9,10,28
fit,1,2,0,2,6,0,16
gain,1,5,0,2,17,13,14
gain,4,2,0,0,7,9,17
gain,4,4,1,0,0,13,13
loss,4,4,1,3,20,6,24
gain,4,5,0,1,16,13,22
loss,1,5,1,2,14,5,17
fit,1,4,0,0,20,8,16
gain,1,3,1,2,0,10,0
loss,1,4,1,2,20,5,17
loss,1,4,0,2,6,5,17
gain,4,1,0,0,0,5,0
gain,1,4,0,2,8,12,20
fit,1,3,0,2,0,3,0
loss,1,4,1,0,4,0,15
loss,4,2,0,2,5,15,25
gain,3,4,1,2,0,3,0
gain,1,4,0,2,4,10,18
loss,1,3,1,2,18,19,22
gain,4,2,0,2,15,12,32
fit,1,1,0,0,5,3,0
loss,1,4,0,2,19,9,12
gain,1,3,1,2,19,5,18
fit,1,1,0,2,13,6,13
loss,1,2,0,2,20,8,15
gain,3,2,1,3,0,7,15
fit,4,4,0,2,17,12,21
fit,1,4,1,2,11,18,23
gain,1,1,1,0,1,2,19
loss,1,4,1,2,16,3,17
gain,1,1,1,0,11,1,18
gain,1,2,1,0,5,18,0
gain,2,5,1,2,6,13,0
loss,1,4,0,3,19,14,24
gain,4,4,1,3,10,17,20
loss,1,1,1,0,5,0,14
loss,2,5,0,0,11,7,27
gain,1,4,0,2,13,7,15
gain,4,3,1,2,8,10,27
fit,1,4,1,3,18,5,18
loss,1,2,0,0,13,6,0
fit,4,2,0,3,15,13,1
gain,4,2,0,0,10,17,0
loss,1,4,1,2,18,5,18
loss,1,4,0,2,10,6,18
fit,1,2,0,2,5,12,20
fit,1,4,0,2,17,14,26
gain,3,2,0,0,0,11,15
fit,1,4,1,2,17,13,19
loss,1,4,1,2,18,22,38
loss,1,3,1,3,9,19,2
loss,1,4,1,2,8,0,36
loss,4,3,0,0,15,6,25
fit,1,2,0,2,16,11,17
gain,4,2,1,2,7,10,27
loss,3,1,0,2,7,0,12
gain,1,1,0,0,0,8,13
gain,1,4,0,2,16,10,19
fit,1,4,0,2,20,15,32
gain,1,4,0,2,16,2,13
fit,1,5,0,0,19,14,26
fit,1,4,1,2,19,9,17
gain,1,4,0,2,13,6,23
fit,1,5,0,2,20,22,17
fit,1,2,0,2,17,5,20
gain,1,4,1,0,10,8,15
gain,1,4,0,2,0,12,22
fit,1,1,0,0,0,0,14
gain,1,4,0,2,17,6,18
fit,1,3,0,2,12,6,18
loss,1,5,0,2,20,3,14
gain,1,5,0,2,17,5,1
gain,4,5,1,2,20,14,27
fit,1,2,0,0,14,20,13
loss,1,4,1,2,20,3,28
loss,1,5,0,2,20,0,15
fit,4,3,1,2,15,11,22
fit,4,5,0,2,20,22,28
fit,1,1,1,2,5,9,0
loss,1,5,0,2,8,0,0
loss,1,3,0,2,8,3,18
loss,1,1,1,0,3,1,14
gain,1,2,0,0,15,2,16
loss,4,5,1,2,8,16,18
fit,4,5,1,2,20,18,13
loss,4,2,0,0,11,0,0
fit,1,4,1,2,20,11,12
gain,1,2,1,0,9,22,0
loss,1,3,0,2,16,6,13
loss,2,5,0,2,20,9,19
gain,1,2,0,0,0,8,0
gain,4,5,1,3,15,12,28
fit,1,5,0,2,20,11,20
gain,1,2,1,0,8,10,13
fit,1,4,0,2,16,12,21
gain,4,5,1,3,20,22,36
gain,1,4,0,2,20,6,16
loss,1,4,0,2,20,0,0
loss,4,2,0,2,9,6,13
fit,1,5,0,2,17,12,15
loss,1,1,0,2,18,9,10
loss,4,3,0,2,14,6,17
gain,1,2,0,0,5,0,0
fit,1,1,0,2,8,1,16
fit,3,5,0,3,19,14,20
gain,4,4,1,2,20,22,25
fit,1,5,0,2,19,11,15
gain,1,4,0,2,16,10,13
gain,1,3,1,0,0,13,17
gain,4,3,0,0,0,12,20
gain,1,1,1,0,7,12,17
gain,1,5,1,2,8,12,13
gain,4,3,1,2,20,22,27
gain,4,2,1,2,18,14,27
fit,4,5,0,0,0,6,17
gain,1,4,1,2,17,18,30
gain,2,1,0,0,0,3,0
gain,3,2,1,2,10,11,30
fit,4,1,0,2,11,10,0
fit,1,5,0,2,20,13,19
loss,1,3,0,2,6,1,14
fit,4,2,0,3,18,12,15
fit,4,5,1,2,19,20,32
gain,2,3,0,0,0,6,16
fit,2,4,1,2,18,22,31
gain,2,2,1,0,0,4,7
fit,4,4,1,0,11,5,23
fit,1,4,0,2,16,8,19
gain,2,5,0,0,13,13,0
gain,4,2,0,1,14,11,1
loss,4,4,1,3,19,8,27
gain,4,2,1,2,13,6,22
fit,4,2,0,0,0,11,16
gain,1,5,0,3,0,15,18
fit,1,5,0,2,20,10,27
fit,1,5,1,2,16,5,0
gain,4,1,1,2,9,5,19
gain,4,4,1,1,7,22,5
fit,1,4,0,0,6,7,16
fit,1,3,1,2,7,6,19
gain,1,5,1,2,20,15,20
loss,1,3,0,0,20,0,13
gain,1,4,0,2,12,12,15
gain,3,4,0,2,12,9,20
loss,1,4,1,2,12,8,12
gain,2,4,1,2,19,15,31
gain,4,4,1,3,6,9,31
fit,1,5,0,0,17,9,15
gain,4,5,1,2,20,12,35
loss,1,3,1,2,20,18,22
fit,1,1,1,0,14,1,0
loss,1,3,0,2,18,5,0
gain,1,2,0,0,3,4,14
loss,1,1,0,0,18,8,13
loss,4,5,1,2,20,15,24
gain,1,4,0,2,20,6,24
gain,4,4,1,2,20,16,24
fit,1,4,1,2,20,22,26
gain,4,2,0,2,5,13,20
gain,3,5,0,2,12,22,15
gain,3,2,1,2,20,14,23
gain,1,1,0,2,14,7,14
gain,4,5,0,0,10,19,36
fit,1,2,1,0,7,2,24
gain,4,4,1,3,19,22,31
fit,1,4,0,2,5,11,12
loss,1,4,0,2,20,9,17
loss,1,3,0,2,15,4,3
gain,2,4,1,0,19,12,27
loss,1,2,0,2,0,3,15
gain,2,1,0,0,7,13,31
loss,2,4,0,2,20,5,20
gain,1,1,0,0,16,10,17
fit,1,4,0,2,12,7,12
loss,1,4,1,2,5,4,0
fit,4,1,0,2,17,13,25
gain,4,1,1,3,7,16,26
loss,4,1,1,2,13,19,30
loss,1,4,0,2,20,7,16
loss,4,5,1,2,20,2,17
gain,4,5,1,3,20,10,25
loss,1,2,1,2,20,7,15
gain,1,2,0,3,18,22,38
fit,1,4,0,2,13,7,28
gain,2,5,1,2,3,7,0
gain,3,5,1,2,20,14,25
gain,1,2,1,2,19,9,13
gain,1,4,0,2,5,11,23
gain,4,1,0,0,0,0,16
loss,1,4,0,2,15,4,17
gain,1,5,0,2,18,0,18
gain,1,1,1,0,2,0,0
fit,3,1,1,2,19,19,28
fit,4,4,1,2,20,16,33
fit,1,1,1,2,7,4,23
fit,1,3,0,2,18,8,16
fit,4,3,1,2,20,7,14
gain,1,1,0,1,12,10,0
gain,2,2,0,0,15,10,17
loss,2,1,0,0,0,0,16
fit,4,3,1,2,17,7,18
gain,4,1,0,3,7,22,20
gain,3,2,0,0,0,0,14
gain,4,5,1,3,3,18,40
loss,1,4,1,2,15,4,9
gain,1,5,1,2,20,12,19
gain,1,5,0,2,17,16,33
loss,1,2,1,2,14,8,0
gain,4,3,0,3,6,22,34
loss,4,5,0,3,13,7,19
fit,1,1,0,2,20,13,21
gain,1,4,0,0,17,11,26
fit,1,4,1,2,19,12,27
gain,1,3,1,2,20,8,39
fit,4,5,0,3,18,22,32
gain,1,1,1,3,14,4,17
loss,3,4,0,3,19,18,33
gain,1,4,1,2,4,8,30
gain,1,1,1,0,5,4,0
fit,4,4,0,2,18,14,16
fit,1,3,1,0,4,6,15
fit,1,4,0,0,8,4,17
gain,4,4,1,2,7,6,0
fit,1,5,1,2,12,11,0
fit,1,4,0,2,15,11,11
gain,4,2,0,2,15,15,25
gain,1,5,1,3,20,16,37
gain,1,5,1,2,20,6,25
fit,1,3,0,0,5,7,0
gain,1,4,0,2,19,19,25
loss,4,5,1,2,19,18,32
loss,1,5,0,2,14,14,25
gain,4,2,1,2,18,11,21
fit,4,5,0,2,20,8,23
fit,4,4,1,2,17,22,28
gain,1,5,0,2,9,12,17
loss,1,5,0,2,14,5,12
fit,4,2,0,2,15,9,25
loss,2,4,1,2,9,10,21
fit,3,3,0,2,11,7,23
gain,4,5,0,2,20,17,21
fit,1,1,0,0,14,2,0
fit,3,4,1,0,0,13,15
loss,3,2,0,2,14,0,0
loss,1,3,1,0,5,3,15
loss,1,2,0,0,9,7,14
gain,4,2,0,1,0,20,14
fit,1,2,0,0,0,2,16
gain,4,5,0,3,5,22,38
loss,1,1,0,2,0,0,0
gain,1,4,0,2,16,13,23
fit,1,3,1,2,19,7,11
gain,4,1,1,0,4,10,20
loss,1,4,0,2,9,0,14
loss,2,2,1,2,20,9,14
gain,1,4,1,2,14,12,17
gain,1,3,1,2,15,16,22
gain,1,4,0,2,13,2,15
loss,1,4,1,2,18,2,17
loss,4,2,0,2,1,7,19
gain,4,5,1,3,17,22,40
gain,4,3,1,2,19,15,23
gain,1,3,1,2,0,9,24
fit,1,5,0,0,9,8,13
fit,1,2,0,0,9,13,16
gain,1,4,1,2,0,11,20
gain,3,1,1,0,2,7,18
gain,1,4,0,2,19,9,15
gain,4,2,0,3,12,13,17
fit,1,2,1,0,8,10,0
fit,1,3,1,2,20,9,24
fit,1,1,0,2,12,17,13
gain,1,1,0,0,4,3,0
fit,1,1,0,2,0,5,15
fit,1,3,0,2,17,14,17
fit,1,4,0,0,16,10,18
gain,4,5,1,2,20,15,0
loss,1,2,0,3,15,0,17
fit,4,1,0,2,20,8,17
fit,4,2,0,0,9,4,19
loss,1,4,0,2,17,8,17
gain,4,2,0,2,20,18,16
gain,1,1,0,0,0,1,13
loss,1,3,0,3,20,18,15
fit,1,4,0,2,11,10,0
gain,4,3,1,2,15,4,0
fit,1,5,0,2,18,10,17
fit,1,4,0,0,20,15,26
gain,1,3,1,2,19,13,33
gain,4,3,0,0,9,5,26
loss,1,3,1,2,17,9,24
fit,1,4,0,0,0,2,11
loss,1,1,0,2,1,8,12
fit,1,1,1,2,9,7,16
loss,4,5,0,3,20,8,28
loss,1,4,1,2,14,0,12
fit,1,3,1,2,16,0,18
loss,1,2,0,2,16,0,13
loss,1,1,1,0,10,17,12
gain,1,5,1,2,18,22,38
loss,4,5,0,2,20,22,21
loss,1,4,1,2,15,19,0
fit,1,4,0,2,8,7,18
loss,4,4,1,2,20,22,23
gain,4,1,0,0,4,9,16
fit,1,3,1,2,18,5,17
fit,1,1,0,0,4,0,12
gain,4,2,0,2,8,10,20
loss,1,4,0,2,18,2,0
gain,1,1,0,0,16,5,18
gain,1,5,0,3,12,12,27
fit,1,2,0,2,20,11,18
gain,1,5,0,0,5,11,21
gain,1,5,1,2,14,12,0
gain,4,4,1,2,13,17,28
loss,1,3,1,3,18,0,27
fit,1,4,0,2,17,7,13
fit,1,3,0,3,19,0,0
gain,4,3,1,2,9,9,20
loss,1,4,1,2,13,2,13
fit,2,2,1,2,1,8,0
gain,1,2,0,0,15,6,0
gain,1,5,1,2,13,16,25
fit,1,3,1,2,19,14,18
fit,4,2,0,2,19,8,16
gain,1,5,0,2,14,18,0
fit,1,1,0,0,7,4,17
fit,3,4,0,2,20,15,37
loss,1,4,1,2,20,13,30
gain,4,5,0,2,6,8,18
gain,1,2,0,0,16,22,26
gain,4,5,0,2,13,14,22
gain,1,4,1,2,4,7,24
gain,4,4,1,2,9,13,26
fit,1,4,0,0,8,12,0
fit,1,1,1,2,10,6,18
fit,4,5,0,3,20,15,19
loss,1,2,0,0,0,5,0
gain,4,3,0,2,8,10,12
loss,1,2,1,2,18,2,0
gain,1,1,1,0,0,0,0
gain,1,3,0,2,0,5,20
gain,1,5,0,2,16,10,17
fit,1,5,0,2,18,7,0
loss,1,2,0,2,1,0,0
gain,4,5,1,3,20,17,37
fit,1,1,0,2,20,5,17
fit,1,2,0,0,1,8,0
gain,1,4,1,3,15,16,31
fit,1,5,1,3,12,9,20
loss,4,4,1,2,20,11,31
loss,4,1,1,1,6,10,24
gain,1,4,0,2,3,9,13
fit,1,4,1,2,10,16,0
loss,1,1,0,0,5,2,0
fit,1,1,1,2,3,10,28
loss,1,1,0,2,10,2,0
loss,1,4,0,2,10,15,14
gain,1,2,1,2,9,7,21
gain,4,4,0,2,17,11,40
fit,1,4,1,2,0,6,21
gain,3,5,1,3,20,11,31
loss,1,4,1,2,15,3,19
loss,1,4,0,2,18,0,13
gain,4,1,0,2,10,1,23
loss,1,4,1,2,20,4,21
fit,1,4,0,0,0,11,16
fit,1,3,0,2,6,0,13
fit,1,4,1,2,14,16,31
gain,1,4,0,0,16,6,18
gain,1,5,1,2,16,15,35
fit,1,3,1,2,20,18,19
loss,1,2,0,0,0,2,17
gain,1,5,0,2,19,22,39
fit,1,1,0,3,5,9,16
loss,1,3,1,2,19,3,28
fit,3,2,0,2,18,8,18
gain,3,5,1,3,12,12,21
fit,1,1,0,2,20,13,24
gain,1,5,0,2,17,13,20
gain,4,4,1,2,20,14,17
loss,1,1,0,0,11,0,0
loss,1,5,0,2,20,7,19
loss,4,4,1,2,11,7,15
loss,1,4,1,2,2,0,17
fit,1,4,0,2,18,7,0
loss,1,4,1,2,8,10,26
gain,1,2,0,2,18,18,28
gain,1,5,0,2,17,15,17
gain,4,5,1,3,14,16,27
fit,4,5,0,3,17,8,0
loss,4,1,0,2,19,7,0
gain,1,1,0,0,1,4,16
fit,1,2,0,0,4,0,14
loss,1,2,0,2,4,4,16
gain,3,3,1,2,13,21,2
fit,1,2,0,2,12,13,19
gain,4,2,1,3,15,16,25
loss,4,2,0,2,13,2,19
gain,4,2,0,2,17,15,32
loss,1,4,0,2,19,8,17
gain,1,5,0,3,12,16,40
gain,1,1,0,0,13,5,19
loss,4,5,1,0,14,8,18
loss,1,2,0,2,9,0,0
fit,1,1,0,0,5,1,3
gain,4,5,0,2,14,11,2
fit,1,4,0,2,17,13,25
gain,3,2,0,0,0,3,0
loss,1,2,1,3,4,8,14
loss,1,1,0,0,8,0,0
gain,1,4,0,1,14,6,20
gain,1,2,0,2,9,0,0
fit,1,5,0,2,20,10,0
gain,1,3,0,2,13,0,16
fit,1,4,0,2,19,7,11
gain,1,1,0,2,0,8,0
fit,4,5,0,2,20,22,32
gain,4,5,1,2,18,14,16
gain,1,5,0,3,18,15,20
fit,1,2,0,0,5,4,13
gain,1,5,1,2,2,12,19
loss,1,4,0,2,11,0,12
fit,4,4,1,2,20,11,18
fit,1,3,0,3,20,9,28
gain,4,1,0,0,2,8,19
fit,1,5,0,2,20,19,17
loss,1,1,0,2,12,9,26
fit,1,2,0,3,16,22,1
loss,1,3,0,2,17,6,14
fit,1,5,0,2,9,0,16
fit,1,2,1,2,18,10,17
fit,1,4,0,2,15,13,0
gain,4,2,0,2,15,9,13
fit,1,1,0,2,13,9,28
fit,1,3,0,2,14,6,14
loss,4,5,1,2,20,22,29
gain,1,1,1,2,0,13,0
fit,3,1,0,0,15,4,14
gain,1,4,1,2,15,8,19
loss,1,5,1,2,16,2,0
gain,1,4,0,2,17,7,19
gain,1,2,1,2,5,8,0
gain,3,4,0,2,17,22,29
fit,1,1,1,2,3,0,0
fit,3,5,0,2,20,14,16
fit,1,4,1,2,20,12,0
gain,4,1,1,0,5,17,35
gain,1,4,1,2,14,20,23
fit,1,5,0,2,12,7,16
gain,1,4,1,2,20,7,21
gain,4,1,0,3,15,12,20
fit,4,2,1,0,9,11,0
fit,1,1,0,2,15,6,12
loss,1,4,0,2,0,0,18
loss,1,4,0,2,17,8,15
gain,1,1,1,2,0,6,19
fit,4,3,1,2,2,11,31
gain,1,4,1,2,20,11,19
loss,4,5,1,3,18,12,32
loss,1,4,1,0,20,15,29
fit,1,2,1,2,20,15,19
gain,4,5,0,2,14,22,35
loss,1,1,1,2,14,4,13
fit,4,2,0,2,6,12,29
fit,1,2,0,2,13,6,10
loss,1,1,1,0,0,0,0
fit,1,2,0,2,15,3,22
loss,1,3,1,2,13,0,15
gain,1,1,0,2,4,8,18
gain,1,3,1,0,13,1,20
loss,1,1,0,3,20,14,0
loss,1,4,0,2,15,4,0
loss,1,1,1,0,3,6,26
fit,1,4,1,2,16,8,0
loss,1,4,1,2,6,2,14
fit,1,5,1,2,20,9,0
fit,4,5,0,2,19,15,19
loss,1,2,0,2,10,7,0
loss,1,2,0,0,12,2,10
fit,4,4,0,2,20,7,19
fit,1,4,0,2,20,15,19
gain,4,5,1,2,19,15,25
loss,1,5,0,2,3,9,21
gain,4,1,1,2,17,16,0
fit,1,2,0,0,6,7,14
fit,1,2,0,0,6,6,20
gain,2,1,0,2,5,16,23
fit,1,3,0,2,20,14,19
fit,1,2,0,0,3,1,22
gain,2,2,1,0,0,0,17
fit,1,4,1,2,20,11,9
gain,2,3,0,3,19,15,15
gain,4,5,1,3,15,11,29
gain,1,5,0,3,20,9,0
loss,1,1,1,0,18,11,0
gain,4,3,1,0,0,4,19
loss,3,4,1,1,12,4,6
gain,1,2,0,0,13,14,0
gain,1,2,0,0,0,8,23
fit,1,2,0,2,2,10,19
loss,1,5,0,2,20,22,23
gain,4,5,0,2,15,13,26
gain,1,3,0,2,5,3,12
gain,1,4,1,2,10,6,15
loss,1,1,0,2,9,0,15
fit,1,5,0,2,20,16,15
fit,1,1,0,2,0,2,12
gain,2,2,0,0,0,7,28
loss,4,5,0,2,14,17,22
loss,1,1,1,2,17,9,35
loss,1,4,0,1,8,7,18
loss,1,4,1,3,7,0,0
gain,4,4,0,0,0,7,0
gain,3,5,0,3,17,17,32
fit,1,4,0,0,8,5,0
loss,4,2,1,2,18,6,0
loss,4,3,1,3,13,13,19
fit,1,2,0,2,13,7,14
loss,1,3,0,2,20,0,12
gain,4,5,1,2,20,13,40
fit,1,5,0,2,12,6,0
gain,4,5,0,2,20,22,31
gain,1,2,0,0,0,5,18
gain,1,1,0,2,8,11,0
gain,4,4,0,2,5,11,19
